"usuario","textoLcu","fuente","favs","rt","lugar","seguidores","texto_original"
"KiddKeo95Flames","En el mundo  todo es mas fácil cuando hay 
1. Interés  
2. contactos <U+0001F50C> 

Ahí es cuando se te abren las puertas,
Aprovechate de ello <U+0001F4A1>","Twitter for iPhone",1044,124,"ROCKPORT",473625,"En el mundo  todo es mas fácil cuando hay 
1. Interés  
2. contactos <U+0001F50C> 

Ahí es cuando se te abren las puertas,
Aprovechate de ello <U+0001F4A1>"
"tiagopzk","<U+0001F61A><U+0001F44C><U+0001F3FD> ","Twitter for iPhone",39363,907,"",1302318,"<U+0001F61A><U+0001F44C><U+0001F3FD> https://t.co/FPvPGes7Tu"
"emimernes_","que injusticia ermano","Twitter for iPhone",8027,85,"Argentina",1017029,"@LITkillah que injusticia ermano"
"DukiSSJ","Acá esperando los nuevos cambios para la plataforma, a ver ke nos trae de nuevo Elon","Twitter for iPhone",30195,636,"LAS NUBES",2840074,"Acá esperando los nuevos cambios para la plataforma, a ver ke nos trae de nuevo Elon"
"emimernes_","CUAL PREFERIS DE EMILIA?","Twitter for iPhone",0,76,"Argentina",1017029,"CUAL PREFERIS DE EMILIA?"
"emimernes_","tengo fotos que demuestran lo contrario","Twitter for iPhone",2854,43,"Argentina",1017029,"@big_one_real tengo fotos que demuestran lo contrario"
"TruenoOficiaI","Dale q voy con alta lija turro ee","Twitter for iPhone",4827,122,"Buenos Aires, Argentina",1348060,"@MarkitoNavaja Dale q voy con alta lija turro ee"
"KiddKeo95Flames","LOGROÑO 23 DE ABRIL !! 

ENTRADAS: ","Twitter for iPhone",142,4,"ROCKPORT",473625,"LOGROÑO 23 DE ABRIL !! 

ENTRADAS: https://t.co/qatw0eX2yO https://t.co/gQs3mz2fwj"
"TruenoOficiaI","El 23 sacó #ÑERI como último tema de este 2020 tan raro y hermoso, gracias a todos x apoyar mis cambios, mis facetas x apoyarme haga lo q haga, por vivir y sentir el disco q sacamos, todo lo q hago es con el fin de llevar este país lo más alto que se pueda, los amo atrevidos.","Twitter for iPhone",17191,515,"Buenos Aires, Argentina",1348060,"El 23 sacó #ÑERI como último tema de este 2020 tan raro y hermoso, gracias a todos x apoyar mis cambios, mis facetas x apoyarme haga lo q haga, por vivir y sentir el disco q sacamos, todo lo q hago es con el fin de llevar este país lo más alto que se pueda, los amo atrevidos."
"DukiSSJ","#YaSupisteTour <U+0001F1F2><U+0001F1FD> + <U+0001F1EA><U+0001F1F8> + <U+0001F1E8><U+0001F1F1> + …. Por donde seguimos?

Mañana sumamos otro país.","Twitter for iPhone",13749,258,"LAS NUBES",2840073,"#YaSupisteTour <U+0001F1F2><U+0001F1FD> + <U+0001F1EA><U+0001F1F8> + <U+0001F1E8><U+0001F1F1> + …. Por donde seguimos?

Mañana sumamos otro país."
"emimernes_","una vergüenza pero admito que soy adicta a los videos de asmr de comida","Twitter for iPhone",26121,1331,"Argentina",1017029,"una vergüenza pero admito que soy adicta a los videos de asmr de comida"
"TruenoOficiaI","Que esta pasando en Cali? 

","Twitter for iPhone",0,1693,"Buenos Aires, Argentina",1348060,"Que esta pasando en Cali? 

https://t.co/KTTMxFpFSh"
"cazzuoficial","Lessss amo <U+2764><U+FE0F>","Twitter for iPhone",536,30,"Buenos Aires, Argentina",1653203,"@CazzuDinamicas Lessss amo <U+2764><U+FE0F>"
"bizarrap","Con 5,507,886 de streams, Paulo Londra BZRP Music Sessions #23 sube 22 puestos al Top Global de Spotify y se ubica en el #2 ","Twitter for iPhone",0,83,"Buenos Aires, Argentina",3278395,"Con 5,507,886 de streams, Paulo Londra BZRP Music Sessions #23 sube 22 puestos al Top Global de Spotify y se ubica en el #2 https://t.co/Qn1TSlXrRy"
"emimernes_","me odio ","Twitter for iPhone",111595,2222,"Argentina",1017029,"me odio https://t.co/BY36nbMS6I"
"cazzuoficial","no me la conteeee","Twitter for iPhone",14009,950,"Buenos Aires, Argentina",1653203,"no me la conteeee"
"PauloLondra","Acaba de publicar un video ","Instagram",6535,185,"",1741703,"Acaba de publicar un video https://t.co/jUYMulG7No"
"DukiSSJ","2x0 vd voy al major ctmreeeeeeee","Twitter for iPhone",0,544,"LAS NUBES",2840074,"2x0 vd @paiNGamingBR voy al major ctmreeeeeeee"
"tiagopzk","Mi bbb y yo ","Twitter for iPhone",5252,107,"",1302318,"Mi bbb y yo https://t.co/HGur833fHQ"
"bizarrap","Ke historico lo de biza y anuel wacho","Twitter for iPhone",0,296,"Buenos Aires, Argentina",3278395,"Ke historico lo de biza y anuel wacho"
"TruenoOficiaI","17","Twitter for iPhone",13069,416,"Buenos Aires, Argentina",1348060,"17"
"kheayf","ola bb soy tiktoker pasame tu tiktok ","Twitter for iPhone",3171,85,"Argentina",1515685,"ola bb soy tiktoker pasame tu tiktok https://t.co/xOyXrUWQFj"
"DukiSSJ","Ahí tene","Twitter for iPhone",3087,29,"LAS NUBES",2840073,"@elduki_messi @SRfranketooo Ahí tene"
"MariaBecerra22","Hoy Cosquín Rock<U+2665><U+FE0F><U+0001F5A4><U+2665><U+FE0F>","Twitter for iPhone",13386,199,"",2294625,"Hoy Cosquín Rock<U+2665><U+FE0F><U+0001F5A4><U+2665><U+FE0F>"
"emimernes_","el mundo sangra <U+0001F97A><U+0001F494>.","Twitter for iPhone",0,2671,"Argentina",1017029,"el mundo sangra <U+0001F97A><U+0001F494>."
"cazzuoficial","Hola k hacen? Yo sentada esperando el día que televisen el futbol femenino sin codificar... tengo la birrita en punga x las dudas.","Twitter for iPhone",16167,860,"Buenos Aires, Argentina",1653203,"Hola k hacen? Yo sentada esperando el día que televisen el futbol femenino sin codificar... tengo la birrita en punga x las dudas."
"PauloLondra","Así ","Instagram",3657,78,"",1741703,"Así @romoreno1 https://t.co/mFsELUCEsK"
"MariaBecerra22","Estoy rodeada de gente tan real y buena<U+0001F60D><U+2665><U+FE0F>","Twitter for iPhone",15254,676,"",2294625,"Estoy rodeada de gente tan real y buena<U+0001F60D><U+2665><U+FE0F>"
"DukiSSJ","Biza me dijo ke yo era la 23 B, pero a también. A cuantos mas habrá engañado…","Twitter for iPhone",158484,3287,"LAS NUBES",2840073,"Biza me dijo ke yo era la 23 B, pero a @LITkillah también. A cuantos mas habrá engañado…"
"tiagopzk","Ke ido esta Post Mortem","Twitter for iPhone",12661,669,"",1302318,"Ke ido esta Post Mortem"
"KiddKeo95Flames","necesito un disco de Kidd keo y basar mi personalidad en el por 7 meses","Twitter for iPhone",0,114,"ROCKPORT",473625,"necesito un disco de Kidd keo y basar mi personalidad en el por 7 meses"
"tiagopzk",".se está volviendo loco y nosotros también con su presencia en #PremioLoNuestro ","Twitter for iPhone",0,106,"",1302318,".@tiagopzk se está volviendo loco y nosotros también con su presencia en #PremioLoNuestro https://t.co/wHulJNw3XX"
"cazzuoficial","<U+0001F498><U+0001F495><U+0001F496><U+0001F497><U+0001F493> ","Twitter for iPhone",57277,2455,"Buenos Aires, Argentina",1653203,"<U+0001F498><U+0001F495><U+0001F496><U+0001F497><U+0001F493> https://t.co/oJnKKXO7jM"
"tiagopzk","No existe medicina dolores ni aspirinaa","Twitter for iPhone",22284,1357,"",1302318,"No existe medicina dolores ni aspirinaa"
"PauloLondra","Gane Chi salames","Twitter for iPhone",2431,51,"",1741703,"Gane Chi salames"
"emimernes_","si pupi se muere de un infarto voy a buscar a uno por uno","Twitter for iPhone",6982,126,"Argentina",1017029,"si pupi se muere de un infarto voy a buscar a uno por uno"
"rusherkingg","<U+0001F635><U+200D><U+0001F4AB> ","Twitter for iPhone",28373,448,"Santiago del Estero, Argentina",854599,"<U+0001F635><U+200D><U+0001F4AB> https://t.co/vWjTP3AUAq"
"DukiSSJ","Hoy cumple años el mejor representante de la camiseta argentina que jamás haya visto en cualquier disciplina.. el eterno capitán nos enseñó a jugar, a comportarnos y ser buenas personas dentro y fuera de la cancha. Gracias mamá por hacerme contemporáneo a Luis Scola! ","Twitter for iPhone",0,75,"LAS NUBES",2840073,"Hoy cumple años el mejor representante de la camiseta argentina que jamás haya visto en cualquier disciplina.. el eterno capitán nos enseñó a jugar, a comportarnos y ser buenas personas dentro y fuera de la cancha. Gracias mamá por hacerme contemporáneo a Luis Scola! https://t.co/CbvPZSOCo6"
"TruenoOficiaI","#ATREVIDOLADESPEDIDA","Twitter for iPhone",3609,134,"Buenos Aires, Argentina",1348060,"#ATREVIDOLADESPEDIDA"
"PauloLondra","De la otra ve 

#thefilmzone aaaa jajajaja jeh
#leonesconflow
#123 ","Instagram",2438,105,"",1741703,"De la otra ve 

#thefilmzone aaaa jajajaja jeh
#leonesconflow
#123 https://t.co/1Jz3JjDcmR"
"kheayf","PORKE SE KE TIENES OTRO<U+0001F494><U+0001F494><U+0001F494><U+0001F494>","Twitter for iPhone",0,1089,"Argentina",1515685,"PORKE SE KE TIENES OTRO<U+0001F494><U+0001F494><U+0001F494><U+0001F494>"
"DukiSSJ","SALIÓ EL VIDEO DE SIN FRENOS ","Twitter for iPhone",4084,206,"LAS NUBES",2840073,"SALIÓ EL VIDEO DE SIN FRENOS @bizarrap @eladiocarry_on https://t.co/bE9PWHI7xY"
"DukiSSJ","Mañana todos arriba devuelta 6AM DALEEEEEEEEEE","Twitter for iPhone",0,76,"LAS NUBES",2840073,"Mañana todos arriba devuelta 6AM DALEEEEEEEEEE"
"emimernes_","JAJAJAJAJ SI","Twitter for iPhone",6003,47,"Argentina",1017029,"@chrisxthia @DukiSSJ @tiagopzk JAJAJAJAJ SI"
"KiddKeo95Flames","de keo toa la f4cking life <U+0001F621>

","Twitter for iPhone",0,26,"ROCKPORT",473625,"de keo toa la f4cking life <U+0001F621>

@KiddKeo95Flames @KiddKeo95Flames https://t.co/7K19JgfDyO"
"bizarrap","yo mirando la lata de Duki nicki y bizarrap: ","Twitter for iPhone",0,936,"Buenos Aires, Argentina",3278395,"yo mirando la lata de Duki nicki y bizarrap: https://t.co/g6OtAmEPCQ"
"rusherkingg","Gracias a los que están de verdad bancando <U+2764><U+FE0F><U+2764><U+FE0F> los quiero mucho <U+0001F970>","Twitter for iPhone",6456,159,"Santiago del Estero, Argentina",854599,"Gracias a los que están de verdad bancando <U+2764><U+FE0F><U+2764><U+FE0F> los quiero mucho <U+0001F970>"
"PauloLondra","Ser como sos, en honor a los que te conocen, no a los que dicen conocerte","Twitter for iPhone",58849,7457,"",1741703,"Ser como sos, en honor a los que te conocen, no a los que dicen conocerte"
"DukiSSJ","Insólito: Se le trabó la cabeza en el apoya brazos del Tren Roca en Villa Elisa y generó 20 minutos de demora ","Twitter for iPhone",0,3736,"LAS NUBES",2840073,"Insólito: Se le trabó la cabeza en el apoya brazos del Tren Roca en Villa Elisa y generó 20 minutos de demora https://t.co/8O8xY6Eb7n"
"DukiSSJ","Gracias jefe","Twitter for iPhone",3513,11,"LAS NUBES",2840074,"@JuamPi_ac @SRfranketooo Gracias jefe"
"KiddKeo95Flames","When Man gets the Drop its Exciting","Twitter for iPhone",355,13,"ROCKPORT",473625,"When Man gets the Drop its Exciting"
"LITkillah","Jajajajajajj lpmm ","Twitter for iPhone",10837,361,"Argentina",1569130,"Jajajajajajj lpmm https://t.co/aekAwVVdQX"
"cazzuoficial","TURREO SESSION 9 <U+0001F608> MAÑANA ","Twitter for iPhone",6682,226,"Buenos Aires, Argentina",1653203,"TURREO SESSION 9 <U+0001F608> MAÑANA @djtao_ok"
"rusherkingg","Enamorado de cuando baja así","Twitter for iPhone",12201,302,"Santiago del Estero, Argentina",854599,"Enamorado de cuando baja así"
"emimernes_","TAMO AFUERAAAA <U+0001F525><U+0001F525><U+0001F525><U+0001F525><U+0001F525>","Twitter for iPhone",3062,308,"Argentina",1017029,"TAMO AFUERAAAA https://t.co/V14ShhEqJP <U+0001F525><U+0001F525><U+0001F525><U+0001F525><U+0001F525>"
"emimernes_","<U+0001F618> ","Twitter for iPhone",151719,2801,"Argentina",1017029,"<U+0001F618> https://t.co/zyqJsM6Tie"
"kheayf","Tratando de entenderte me gradué","Twitter for iPhone",0,934,"Argentina",1515685,"Tratando de entenderte me gradué"
"kheayf","el barber toma vino ","Twitter for iPhone",0,39,"Argentina",1515685,"el barber toma vino @kheayf https://t.co/ImF6BxUp9j"
"rusherkingg","Que recuerdos cuando de pibito me escapaba por el techo de mi casa para ver a una loquita con la que andaba, después pinchó, pero yo la rompía saltando","Twitter for iPhone",11664,181,"Santiago del Estero, Argentina",854599,"Que recuerdos cuando de pibito me escapaba por el techo de mi casa para ver a una loquita con la que andaba, después pinchó, pero yo la rompía saltando"
"DukiSSJ","Nos vamo paaaa","Twitter for iPhone",1068,5,"LAS NUBES",2840074,"@roxfps @9zTeam @LuknCSGO @dgtcsgo @maxgzez @dav1dcs1 @zakkfps Nos vamo paaaa"
"TruenoOficiaI","15/07/21","Twitter for iPhone",10525,468,"Buenos Aires, Argentina",1348060,"15/07/21"
"rusherkingg","Tranquilooos estoy preparando algo grande <U+0001F607><U+2764><U+FE0F>","Twitter for iPhone",390,36,"Santiago del Estero, Argentina",854599,"@lobapersonal Tranquilooos estoy preparando algo grande <U+0001F607><U+2764><U+FE0F>"
"rusherkingg","Paris es el lugar más increíble  al que fui en mi vida, es una locura wuacho","Twitter for iPhone",8685,155,"Santiago del Estero, Argentina",854599,"Paris es el lugar más increíble  al que fui en mi vida, es una locura wuacho"
"MariaBecerra22","???? Que hacemo? ","Twitter for iPhone",30611,804,"",2294625,"@bizarrap ???? Que hacemo? https://t.co/kDC8FtDeYR"
"cazzuoficial","<U+0001F98B>Un 25N de 1960 fueron asesinadas Patria, Minerva y María Teresa Mirabal, mujeres luchadoras contra la dictadura de Trujillo en República Dominicana. Se las conocía como “Las mariposas"". En su honor se estableció el 25 como Día Internacional contra la Violencia hacia las Mujeres ","Twitter for iPhone",0,199,"Buenos Aires, Argentina",1653203,"<U+0001F98B>Un 25N de 1960 fueron asesinadas Patria, Minerva y María Teresa Mirabal, mujeres luchadoras contra la dictadura de Trujillo en República Dominicana. Se las conocía como “Las mariposas"". En su honor se estableció el 25 como Día Internacional contra la Violencia hacia las Mujeres https://t.co/fLxLpH82nK"
"MariaBecerra22","Te adorooo! Gracias por tirarme la buena siempre mi pabli<U+0001F60D><U+2665><U+FE0F>","Twitter for iPhone",5192,72,"",2294625,"@PabloAgustin Te adorooo! Gracias por tirarme la buena siempre mi pabli<U+0001F60D><U+2665><U+FE0F>"
"LITkillah","Nooo me encanto este el mejor hasta ahora e ","Twitter for iPhone",8290,153,"Argentina",1569130,"Nooo me encanto este el mejor hasta ahora e https://t.co/XntvA5FGMl"
"PauloLondra","Me gusta tanto la lluvia que en ves de relajarme y dormir me hace tener noche de insomnio","Twitter for iPhone",52028,4112,"",1741703,"Me gusta tanto la lluvia que en ves de relajarme y dormir me hace tener noche de insomnio"
"KiddKeo95Flames","Los ídolos van y vienen, solo recuerden quien estuvo ahí.","Twitter for iPhone",876,67,"ROCKPORT",473625,"Los ídolos van y vienen, solo recuerden quien estuvo ahí."
"TruenoOficiaI","Tamo activo","Twitter for iPhone",11964,475,"Buenos Aires, Argentina",1348060,"Tamo activo"
"TruenoOficiaI","MAYO","Twitter for iPhone",13410,536,"Buenos Aires, Argentina",1348060,"MAYO"
"KiddKeo95Flames","Hoy hago un Twitch Hablando de la Vida.","Twitter for iPhone",554,11,"ROCKPORT",473625,"Hoy hago un Twitch Hablando de la Vida."
"PauloLondra","Altas lucesitas tengo jeh 

#leonesconflow
#budaseneltemplo 
#paz

Cuando te estas sacando fotos pero escuchas un ruido raro en la cocina, y no sabes si es tiempo de rezar o hacerse algo pa morfa ","Instagram",4726,163,"",1741703,"Altas lucesitas tengo jeh 

#leonesconflow
#budaseneltemplo 
#paz

Cuando te estas sacando fotos pero escuchas un ruido raro en la cocina, y no sabes si es tiempo de rezar o hacerse algo pa morfa https://t.co/0YWQGgPEis"
"emimernes_","Hola emii, estoy haciendo una rifa y juntando donaciones para poder pagar la internacion de mi perrtio, ayer volvio a casa, pero hoy lo tuvimos que llevar devuelta debido a que empeoro devuelta.
Este es el cvu: 0000003100077869706495
 Se agradece mucho que compartan ","Twitter for iPhone",0,229,"Argentina",1017029,"@emimernes_ Hola emii, estoy haciendo una rifa y juntando donaciones para poder pagar la internacion de mi perrtio, ayer volvio a casa, pero hoy lo tuvimos que llevar devuelta debido a que empeoro devuelta.
Este es el cvu: 0000003100077869706495
 Se agradece mucho que compartan https://t.co/aQYIy9GucK"
"kheayf","100M para Donde Estas <U+0001F97A><U+0001F498>gracias de <U+2764><U+FE0F> ","Twitter for iPhone",5854,206,"Argentina",1515685,"100M para Donde Estas <U+0001F97A><U+0001F498>gracias de <U+2764><U+FE0F> https://t.co/r7C8OsLFvG"
"TruenoOficiaI","Te amo","Twitter for iPhone",23536,506,"Buenos Aires, Argentina",1348060,"@naikinai19 Te amo"
"emimernes_","me están mirando 
será el brillo de mis eyes <U+0001F48E> ","Twitter for iPhone",110760,1308,"Argentina",1017029,"me están mirando 
será el brillo de mis eyes <U+0001F48E> https://t.co/VLUBRLElmG"
"tiagopzk","Crack","Twitter for iPhone",302,5,"",1302318,"@Rafitta_tt Crack"
"kheayf","COMO ME GUSTA EL FRÍO LA PUTA MADREEEE","Twitter for iPhone",47181,14555,"Argentina",1515685,"COMO ME GUSTA EL FRÍO LA PUTA MADREEEE"
"PauloLondra","Eyow eyow aja flow nitido insípido intrépido líquido mítico","Twitter for iPhone",49263,1637,"",1741703,"Eyow eyow aja flow nitido insípido intrépido líquido mítico"
"DukiSSJ","pero wn","Twitter for iPhone",0,256,"LAS NUBES",2840074,"@DukiSSJ pero wn"
"DukiSSJ","Si Quieren Frontear esta 1ero en el Top 50 Argentina

felicitaciones reyes ","Twitter for iPhone",0,43,"LAS NUBES",2840073,"Si Quieren Frontear esta 1ero en el Top 50 Argentina

felicitaciones reyes @DukiSSJ @DeLaGhettoReal @quevedo https://t.co/8mShHMkog7"
"bizarrap","<U+0001F339><U+0001F339> ","Twitter for iPhone",0,2496,"Buenos Aires, Argentina",3278395,"<U+0001F339><U+0001F339> https://t.co/ZmNeOAeotB"
"DukiSSJ","Me gusta más el remix ke la original","Twitter for iPhone",38607,1405,"LAS NUBES",2840073,"Me gusta más el remix ke la original"
"MariaBecerra22","Ayyy<U+0001F60D><U+2665><U+FE0F><U+0001F60D>","Twitter for iPhone",531,8,"",2294625,"@victorxbecerra Ayyy<U+0001F60D><U+2665><U+FE0F><U+0001F60D>"
"tiagopzk","Toy pa sacar algo medio Bruno Mars","Twitter for iPhone",40258,555,"",1302318,"Toy pa sacar algo medio Bruno Mars"
"rusherkingg","Hoy eran los de la casa ft mi pelo en el lolla la puta madre","Twitter for iPhone",18689,370,"Santiago del Estero, Argentina",854599,"Hoy eran los de la casa ft mi pelo en el lolla la puta madre"
"tiagopzk","Tiago PZK se estará presentando hoy en #LOS40PrimaveraPOP en Madrid y pueden ver la transmisión por: — El festival comienza a las 20hs<U+0001F1EA><U+0001F1E6> y 15hs<U+0001F1E6><U+0001F1F7> ","Twitter for iPhone",0,58,"",1302318,"Tiago PZK se estará presentando hoy en #LOS40PrimaveraPOP en Madrid y pueden ver la transmisión por: https://t.co/FD9FmFnH9W

— El festival comienza a las 20hs<U+0001F1EA><U+0001F1E6> y 15hs<U+0001F1E6><U+0001F1F7> https://t.co/QtSQiynpEA"
"DukiSSJ","1 paso más, vamos <U+0001F49C>","Twitter for iPhone",0,146,"LAS NUBES",2840074,"1 paso más, vamos @9zTeam <U+0001F49C>"
"cazzuoficial","me dice turra","Twitter for iPhone",18062,1166,"Buenos Aires, Argentina",1653203,"me dice turra"
"emimernes_","Hoy sale 4:20 de la Emi daleeeeee","Twitter for iPhone",0,232,"Argentina",1017029,"Hoy sale 4:20 de la Emi daleeeeee"
"DukiSSJ","YA SALIMOS A LA VENTA MEXICO 
26 de Mayo Monterrey
27 de Mayo Mexico DF
29 de Mayo Guadalajara 

LINK PARA LAS ENTRADA: 
","Twitter for iPhone",5637,192,"LAS NUBES",2840074,"YA SALIMOS A LA VENTA MEXICO 
26 de Mayo Monterrey
27 de Mayo Mexico DF
29 de Mayo Guadalajara 

LINK PARA LAS ENTRADA: 
https://t.co/IaG8LAG6IB"
"LITkillah","Hoy voy a prender stream muuuy chill pero como tengo el dia libre voy a estar muchas horas viciando seguroop, asike en un rato toy ready","Twitter for iPhone",10071,220,"Argentina",1569130,"Hoy voy a prender stream muuuy chill pero como tengo el dia libre voy a estar muchas horas viciando seguroop, asike en un rato toy ready"
"PauloLondra","23 de abril de 2022, gracias a quienes me ayudan a progresar, con amor todo se puede, no puedo creer que me levanto a las nueve de la mañana desayuno y hago música jeje toy flexivoro <U+0001F970> falta poco para un sorpresirijilla","Twitter for iPhone",76909,3083,"",1741703,"23 de abril de 2022, gracias a quienes me ayudan a progresar, con amor todo se puede, no puedo creer que me levanto a las nueve de la mañana desayuno y hago música jeje toy flexivoro <U+0001F970> falta poco para un sorpresirijilla"
"PauloLondra","Por ayer
Por el hoy 
Porque se que ahora voy ","Instagram",20946,869,"",1741703,"Por ayer
Por el hoy 
Porque se que ahora voy https://t.co/cieCOREirK"
"rusherkingg","Cancelalos lokita que hoy se rompe bahía blanca daleeeee","Twitter for iPhone",432,5,"Santiago del Estero, Argentina",854599,"@Rocciomicaela Cancelalos lokita que hoy se rompe bahía blanca daleeeee"
"rusherkingg","mira este video es re adictivo jajsjsj

 ","Twitter for iPhone",0,81,"Santiago del Estero, Argentina",854599,"@rusherkingg mira este video es re adictivo jajsjsj

 https://t.co/5KEWk6Ws5n"
"PauloLondra","No saben el honor que fue poder aprender de este señor, Ruben magnano ","Twitter for iPhone",43444,879,"",1741703,"No saben el honor que fue poder aprender de este señor, Ruben magnano https://t.co/DUbbqHgsSx"
"kheayf","mañana nv ahi <U+0001F1E6><U+0001F1F7><U+0001F3E0><U+2764><U+FE0F>","Twitter for iPhone",5458,84,"Argentina",1515685,"mañana @lollapaloozaar nv ahi <U+0001F1E6><U+0001F1F7><U+0001F3E0><U+2764><U+FE0F>"
"rusherkingg","España de una","Twitter for iPhone",6589,122,"Santiago del Estero, Argentina",854599,"España de una"
"emimernes_","te amo! y seguiremos creciendo juntas <U+0001F496> gracias por tantos años de amor","Twitter for iPhone",406,26,"Argentina",1017029,"@MERNESXBIRRA te amo! y seguiremos creciendo juntas <U+0001F496> gracias por tantos años de amor"
"bizarrap","<U+0001F3A7> llega a #NBA2K22

Tres de sus temas se incorporan al juego en la Temporada 5:
<U+0001F525> | BZRP Music Sessions #39
<U+0001F525> | BZRP Music Sessions #40
<U+0001F525> | BZRP Music Sessions #47

Pero eso no es todo... Más sorpresas pronto <U+0001F440> ","Twitter for iPhone",0,158,"Buenos Aires, Argentina",3278395,"<U+0001F3A7> @bizarrap llega a #NBA2K22

Tres de sus temas se incorporan al juego en la Temporada 5:
<U+0001F525> @SnowThaProduct | BZRP Music Sessions #39
<U+0001F525> @eladiocarry_on | BZRP Music Sessions #40
<U+0001F525> @el_moraddd | BZRP Music Sessions #47

Pero eso no es todo... Más sorpresas pronto <U+0001F440> https://t.co/He4z8d1IwP"
"TruenoOficiaI","<U+0001F451> ","Twitter for iPhone",0,550,"Buenos Aires, Argentina",1348060,"<U+0001F451> https://t.co/7z7ejMdHXe"
"PauloLondra","Fluye","Twitter for iPhone",10079,846,"",1741703,"Fluye"
"KiddKeo95Flames","Yo si puedo presumir que conocí a mi novio en un concierto de y también que los dos tenemos foto con nuestro mayor ídolo. <U+0001F62E><U+200D><U+0001F4A8><U+0001F5A4><U+0001F970> ","Twitter for iPhone",0,3,"ROCKPORT",473625,"Yo si puedo presumir que conocí a mi novio en un concierto de @KiddKeo95Flames y también que los dos tenemos foto con nuestro mayor ídolo. <U+0001F62E><U+200D><U+0001F4A8><U+0001F5A4><U+0001F970> https://t.co/1GRmxNp5Du"
"rusherkingg","Ando muy confundidooo tus besos son más friooos","Twitter for iPhone",20165,1383,"Santiago del Estero, Argentina",854599,"Ando muy confundidooo tus besos son más friooos"
"DukiSSJ","despues le tiro un sharau para el duko
 jefess ","Twitter for iPhone",0,22,"LAS NUBES",2840073,"despues le tiro un sharau para el duko
 @ObieWanShot @DukiSSJ jefess https://t.co/OimYadpYxS https://t.co/JAYn6RfBS7"
"rusherkingg","Me hacen muy feliz <U+2764><U+FE0F> ","Twitter for iPhone",2288,57,"Santiago del Estero, Argentina",854599,"Me hacen muy feliz <U+2764><U+FE0F> https://t.co/XMd84Miszb"
"kheayf","que me tenga cuidado el amor","Twitter for iPhone",6175,370,"Argentina",1515685,"que me tenga cuidado el amor"
"cazzuoficial","el amigo acá en busca de una turrita, si alguien sabe k avise. ","Twitter for iPhone",2624,66,"Buenos Aires, Argentina",1653203,"el amigo acá en busca de una turrita, si alguien sabe k avise. https://t.co/5dy4jaZdwg"
"tiagopzk","el tema de rusher y tiago es de verdad increíble big la rompió tambien los tres se lucieron no están listos","Twitter for iPhone",0,145,"",1302318,"el tema de rusher y tiago es de verdad increíble big la rompió tambien los tres se lucieron no están listos"
"KiddKeo95Flames","Mi ganga vuelve este añito... ","Twitter for iPhone",186,4,"ROCKPORT",473625,"Mi ganga vuelve este añito... https://t.co/KmPUglLMg2"
"KiddKeo95Flames","Mae que bueno un concierto de kidd Keo <U+0001F927><U+0001F927><U+0001F927>","Twitter for iPhone",0,32,"ROCKPORT",473625,"Mae que bueno un concierto de kidd Keo <U+0001F927><U+0001F927><U+0001F927>"
"cazzuoficial","ah.. acá hay un buen punto para continuar lo establecido previamente","Twitter for iPhone",16,4,"Buenos Aires, Argentina",1653203,"@defondotrap ah.. acá hay un buen punto para continuar lo establecido previamente"
"tiagopzk","Feliz cumpleaños te festejo todos mis dias<U+2764><U+FE0F> ","Twitter for iPhone",77909,806,"",1302318,"Feliz cumpleaños te festejo todos mis dias<U+2764><U+FE0F> https://t.co/Ynf6wvp60n"
"kheayf","voy a bajarme tinder y poner en la biografía solamente q estoy verificado y soy amigo de khea","Twitter for iPhone",0,83,"Argentina",1515685,"voy a bajarme tinder y poner en la biografía solamente q estoy verificado y soy amigo de khea"
"tiagopzk","JAJAJAAJJAJAJAJA K HDP","Twitter for iPhone",2211,13,"",1302318,"@Biscarrita JAJAJAAJJAJAJAJA K HDP"
"cazzuoficial","jamás seré feliz sabiendo que Travis no es mi marido.","Twitter for iPhone",24403,1239,"Buenos Aires, Argentina",1653203,"jamás seré feliz sabiendo que Travis no es mi marido."
"bizarrap","esto es real? ","Twitter for iPhone",27379,411,"Buenos Aires, Argentina",3278395,"esto es real? @tinistoessel https://t.co/4lo9l38EHp"
"DukiSSJ","Duko ven a Ecuador, plisss<U+0001F62D>","Twitter for iPhone",0,20,"LAS NUBES",2840074,"@DukiSSJ Duko ven a Ecuador, plisss<U+0001F62D>"
"bizarrap",".and ""Paulo Londra: Bzrp Music Sessions, Vol. 23"" reaches a new peak of #2 on the global Spotify chart with 5.507 million streams.","Twitter for iPhone",0,212,"Buenos Aires, Argentina",3278395,".@bizarrap and @PauloLondra’s ""Paulo Londra: Bzrp Music Sessions, Vol. 23"" reaches a new peak of #2 on the global Spotify chart with 5.507 million streams."
"DukiSSJ","La película de los simuladores sale el 2024 , ke manija esperar dos años por algo","Twitter for iPhone",24833,1120,"LAS NUBES",2840074,"La película de los simuladores sale el 2024 , ke manija esperar dos años por algo"
"rusherkingg","Se tiene que hacer mundial tu movimiento Emilia!","Twitter for iPhone",5556,79,"Santiago del Estero, Argentina",854599,"@emimernes_ Se tiene que hacer mundial tu movimiento Emilia!"
"kheayf","kiero comerte","Twitter for iPhone",24792,3657,"Argentina",1515685,"kiero comerte"
"cazzuoficial","<U+0001F97A><U+2764><U+FE0F>","Twitter for iPhone",55,5,"Buenos Aires, Argentina",1653203,"@annabella_vp <U+0001F97A><U+2764><U+FE0F>"
